question,answer
Học CNTT xong có thể làm những nghề gì?,"Tốt nghiệp ngành CNTT, bạn có thể đảm nhận nhiều vị trí khác nhau, tùy thuộc vào chuyên môn của mình: Lập trình viên phần mềm, Kỹ sư phần mềm, Chuyên viên an ninh mạng, Quản trị viên hệ thống, Chuyên viên phát triển web, Chuyên viên kiểm thử phần mềm. Ngoài ra, bạn cũng có thể làm việc tự do (freelancer), khởi nghiệp hoặc nghiên cứu và giảng dạy trong lĩnh vực này."
Ngành Công nghệ Thông tin bao gồm những nội dung học nào?,"Sinh viên ngành CNTT sẽ được trang bị kiến thức nền tảng về: Viết code và xây dựng giải pháp phần mềm, Cấu trúc dữ liệu và giải thuật, Hệ thống thông tin, Mạng máy tính và bảo mật, Trí tuệ nhân tạo và khoa học dữ liệu (tùy chuyên ngành). Ngoài ra, tùy vào chương trình đào tạo, bạn có thể chọn chuyên sâu vào các lĩnh vực như: Công nghệ phần mềm, An toàn thông tin, Khoa học dữ liệu, Phát triển ứng dụng di động, Quản trị hệ thống mạng."
Bằng cấp có quan trọng không?,"Bằng cấp không phải yếu tố quyết định thành công trong ngành CNTT, nhưng nó giúp bạn có lợi thế trong giai đoạn đầu xin việc. Các nhà tuyển dụng ngày càng quan tâm hơn đến kỹ năng thực tế, thái độ làm việc và kinh nghiệm hơn là bằng cấp. Vì vậy, ngoài tấm bằng, bạn nên trau dồi thêm kỹ năng mềm, học hỏi thực tế và xây dựng các dự án cá nhân để tạo lợi thế cạnh tranh."
Học CNTT ra trường có lương cao không?,"Mức lương trong ngành CNTT phụ thuộc vào kinh nghiệm, kỹ năng và vị trí công việc. Một sinh viên mới ra trường có thể nhận mức lương từ 9 – 12 triệu đồng/tháng. Sau khoảng 5 năm, nếu có năng lực tốt, mức lương có thể lên tới 40 – 50 triệu đồng/tháng. Những vị trí cao cấp hoặc làm việc tại công ty quốc tế có thể đạt mức lương cao hơn."
Công nghệ thông tin gồm những chuyên ngành nào?,"Các chuyên ngành phổ biến của Công nghệ Thông tin gồm Công nghệ phần mềm (phân tích, thiết kế, lập trình, kiểm thử, DevOps), Khoa học dữ liệu & AI/ML (xử lý dữ liệu, học máy, thống kê, MLOps), Kỹ thuật mạng & Hệ thống/Cloud/DevOps/SRE (hạ tầng, Linux, mạng, cloud, CI/CD), An toàn thông tin (bảo mật ứng dụng/hệ thống, pentest, SOC), Hệ thống thông tin/Business Analysis (mô hình hoá quy trình, phân tích nghiệp vụ), Phát triển Web/Mobile (Frontend, Backend, Full-stack, Android/iOS), Embedded/IoT (vi điều khiển, hệ nhúng), và một số hướng mở rộng như Game Dev, UI/UX, Đồ hoạ, AR/VR, FinTech, HealthTech…"
Những đặc điểm nào được các nhà tuyển dụng tìm kiếm ở các ứng viên Công nghệ thông tin?,"Nhà tuyển dụng CNTT thường tìm ứng viên có nền tảng vững (DSA, OOP, SQL, HTTP, hệ điều hành và mạng cơ bản), kinh nghiệm thực hành qua dự án thật (Git/GitHub, viết test, CI/CD, Docker/Cloud), khả năng giải quyết vấn đề và debug (đọc log, tra cứu tài liệu nhanh), code chất lượng (clean code, bảo mật căn bản, tối ưu hiệu năng), giao tiếp và làm việc nhóm tốt, tiếng Anh ở mức B1–B2 để đọc–trao đổi kỹ thuật, cùng tư duy sản phẩm (hiểu nhu cầu người dùng, ưu tiên đúng việc) và thái độ chuyên nghiệp (chủ động, học nhanh, kiên trì, giữ cam kết)."
Học CNTT có nhất thiết phải giỏi thuyết trình/giao tiếp?,"Bạn không cần nói hay như diễn giả, nhưng biết giao tiếp ở mức đủ dùng là bắt buộc trong CNTT. Chỉ cần: giới thiệu dự án 1–2 phút (làm gì, làm sao, kết quả), hỏi 3–5 câu để hiểu rõ yêu cầu, viết README ngắn 1 trang, báo cáo mỗi ngày dưới 1 phút (hôm qua/hôm nay/vướng gì), và tiếng Anh tầm B1–B2 để đọc tài liệu, viết issue/PR. Làm vai trò BA/PM/Tech Lead hoặc làm với khách quốc tế thì cần giỏi hơn; còn dev mới–trung bình đạt các mốc trên là đủ dùng."
Nên chọn chuyên ngành nào trong CNTT để hợp với mình?,"Hãy chọn chuyên ngành CNTT theo công thức sở thích + thế mạnh + nhu cầu việc làm: nếu bạn thích giao diện và trải nghiệm người dùng, chọn Frontend/Web hoặc Mobile; thích xử lý logic và hiệu năng hệ thống, chọn Backend (Java/Go/.NET); mê dữ liệu, chọn Data Engineer; thích phân tích và mô hình, chọn Data Scientist/ML Engineer; thích hạ tầng tự động hóa, chọn DevOps/Cloud/SRE; thích bảo mật, chọn An toàn thông tin; thích phần cứng, chọn Embedded/IoT. Cách quyết nhanh: thử 2 mini-project ở 2 mảng bạn hứng thú (mỗi cái 6–8 giờ), rồi chọn mảng khiến bạn “vào flow” nhất và có nhiều tin tuyển dụng; sau đó làm 1 dự án thực tế 2–4 tuần và triển khai demo. Nếu còn phân vân, ưu tiên Backend (Java/Go) hoặc Data/AI (Python + SQL) vì cơ hội rộng và dễ chuyển hướng sau này."
Nên bắt đầu với ngôn ngữ lập trình nào?,"Mới học thì chọn một ngôn ngữ trước và làm vài bài/dự án nhỏ cho chắc. Dễ nhất là Python (học nhanh, làm được nhiều thứ như AI, xử lý dữ liệu, tự động hoá). Muốn làm web thì học JavaScript rồi chuyển sang TypeScript (làm được cả frontend và backend với Node.js). Thích backend mạnh, ổn định thì Java; muốn gọn, nhanh thì Go. Làm mobile: Kotlin (Android) hoặc Swift (iOS). Nếu chưa rõ hướng, cứ học Python + SQL + Git khoảng 1–2 tháng rồi quyết tiếp."
Học nhóm hay học một mình hiệu quả hơn?,"Cả hai đều hiệu quả nếu dùng đúng lúc: tự học phù hợp khi cần tập trung đọc tài liệu, luyện DSA, viết code, ôn lý thuyết sâu; học nhóm (2–4 người) hợp để thảo luận ý tưởng, gỡ bài khó, code review, tập thuyết trình. Gợi ý phân bổ 70% tự học – 30% học nhóm mỗi tuần. Với buổi nhóm 60–90 phút, hãy: 10’ đặt mục tiêu → 40–60’ làm và giải thích → 10–20’ tổng kết (có người điều phối và người ghi chép). Nếu tiến bộ chững 2 tuần, tăng học nhóm để nhận phản hồi; nếu “nói nhiều hơn làm”, giảm nhóm và tăng tự học."
Cách xử lý sợ sai/sợ hỏi khi làm nhóm hoặc hỏi thầy/coder khác?,"Để bớt sợ sai sợ hỏi, hãy đổi góc nhìn: hỏi để tiết kiệm thời gian của cả nhóm, không phải để thể hiện dốt giỏi. Trước khi hỏi, dành 10–15 phút đọc nhanh tài liệu, thử một hai cách và ghi lại mình đã làm gì. Khi hỏi, kèm ví dụ tái hiện tối thiểu gồm môi trường, các bước gây lỗi, phần log chính, kỳ vọng so với thực tế và trình bày gọn theo bốn ý: bối cảnh → đã thử → đang kẹt ở đâu → cần gợi ý bước tiếp theo. Tự giới hạn 30–60 phút không ra thì phải hỏi, nhắm đúng người, mỗi lần chỉ một vấn đề, tin nhắn 5–7 dòng. Giữ thái độ học hỏi, nói lời cảm ơn, báo lại kết quả, sai thì sửa và luyện thói quen hỏi nhỏ 1–2 lần mỗi tuần để quen dần."
Muốn học về AI thì cần nền tảng gì?,"Muốn học AI bạn cần vững ba nền tảng. Một là toán cơ bản gồm đại số tuyến tính, giải tích, xác suất và thống kê. Hai là lập trình với Python cùng thư viện NumPy, Pandas, scikit learn, thêm Git, Linux cơ bản và SQL để xử lý dữ liệu. Ba là quy trình máy học thực hành gồm thu thập và làm sạch dữ liệu, chia tập, huấn luyện, đánh giá bằng các chỉ số như độ chính xác, độ bao phủ và F1, kèm khả năng đọc tài liệu tiếng Anh. Khi đã vững, học tiếp deep learning với PyTorch hoặc TensorFlow và hiểu cách dùng GPU để triển khai hiệu quả."
Muốn trở thành dev giỏi cần những yếu tố gì?,"Để trở thành dev giỏi bạn cần nền tảng vững về cấu trúc dữ liệu và thuật toán, hiểu hệ điều hành mạng và cơ sở dữ liệu, viết code sạch dễ bảo trì và có thói quen viết test. Bạn phải giỏi phân tích vấn đề và debug, dùng thành thạo Git Linux SQL và ít nhất một ngôn ngữ chính cùng một framework chủ lực. Giao tiếp rõ ràng và tiếng Anh đủ dùng để đọc tài liệu và trao đổi kỹ thuật. Có tinh thần trách nhiệm chủ động học liên tục và biết quản lý thời gian. Hiểu tư duy sản phẩm biết ưu tiên yêu cầu và chú ý bảo mật hiệu năng và độ ổn định. Luôn ghi chép tài liệu review chéo với đồng đội và hoàn thành dự án có kết quả đo được."
"Học lại và học cải thiện khác nhau như thế nào, điểm nào được tính vào điểm trung bình tích lũy?","Tại HUSC, học lại là bạn đăng ký học lại học phần đã rớt điểm F hoặc không đủ điều kiện dự thi cho đến khi đạt, và sau khi đạt thì điểm mới sẽ được dùng để tính điểm trung bình tích lũy. Học cải thiện là bạn tự nguyện đăng ký học lại học phần đã qua để nâng điểm trung bình; nhà trường quy định điểm cao nhất trong các lần học của học phần đó sẽ là điểm cuối cùng dùng để tính điểm trung bình tích lũy, các lần điểm khác vẫn lưu trên bảng điểm. Quy định này được nêu trong Quy chế học vụ của HUSC và tài liệu dẫn chiếu của Đại học Huế"
"Thời gian tối đa hoàn thành chương trình, bảo lưu kết quả học tập và thủ tục tạm dừng như thế nào?","Theo quy chế của Đại học Huế, thời gian tối đa để hoàn thành một chương trình không vượt quá hai lần thời gian theo kế hoạch học tập chuẩn của chương trình. Nghĩa là chương trình chuẩn bốn năm thì tối đa tám năm, chương trình năm năm thì tối đa mười năm. Thời gian nghỉ học tạm thời vì nhu cầu cá nhân vẫn được tính vào thời hạn tối đa này. Để bảo lưu kết quả và tạm dừng, bạn làm đơn xin nghỉ học tạm thời kèm minh chứng theo hướng dẫn của nhà trường, nộp đúng hạn cho Phòng Đào tạo để trình Hiệu trưởng xem xét và chờ thông báo trên UMS; khi quay lại học, các tín chỉ đã tích lũy còn hiệu lực trong khung thời gian tối đa sẽ được công nhận. Quy định khung nằm ở Thông tư 08 của Bộ Giáo dục và Đào tạo và Quy chế đào tạo tín chỉ của Đại học Huế, còn biểu mẫu và mốc thời gian nộp đơn HUSC công bố tại mục Quy định quy chế và trong thông báo từng học kỳ."
Khi nào bị cảnh báo học vụ và cách gỡ cảnh báo?,"Bạn bị cảnh báo học vụ nếu điểm trung bình học kỳ dưới 0,80 ở học kỳ đầu của khóa hoặc dưới 1,00 ở các học kỳ tiếp theo; ngưỡng này được HUSC áp dụng theo Quy chế học vụ và được Phòng Đào tạo công bố vào cuối mỗi kỳ. Để gỡ cảnh báo, bạn cần nâng điểm trung bình học kỳ ở kỳ kế tiếp lên từ mức yêu cầu trở lên, ưu tiên xử lý các học phần điểm thấp, đăng ký khối lượng học tập phù hợp và tuân thủ đầy đủ quy định chuyên cần; nhà trường sẽ rà soát và cập nhật trạng thái sau khi có kết quả học kỳ."
Khi học hoài không tiến bộ nên điều chỉnh ra sao?,"Khi học mãi không tiến bộ, hãy dừng một ngày để chẩn đoán rồi đổi cách làm. Xác định mục tiêu cụ thể theo tuần, chia nhỏ từng kỹ năng thành bài luyện mười đến hai mươi phút và đo bằng số bài hoàn thành, số lỗi giảm, thời gian giải một bài. Đổi tài liệu nếu đọc hoài không hiểu, ưu tiên tài liệu có ví dụ và bài tập có đáp án. Luyện có phản hồi bằng cách nhờ bạn review, hỏi trợ giảng hoặc đăng câu hỏi kèm ví dụ tái hiện lỗi. Áp dụng phiên tập trung có hẹn giờ, sau mỗi phiên ghi lại bạn đã làm gì và một điều rút ra. Học theo chu kỳ lặp lại cách ngày để nhớ lâu, dùng thẻ từ hoặc ghi chú ngắn. Mỗi tuần làm một bài kiểm tra nhỏ để tự chấm và điều chỉnh. Nếu vẫn tắc, nhờ một người hướng dẫn gỡ đúng chỗ kẹt, sắp xếp lại môi trường học gọn gàng, ngủ đủ và dành một ngày giảm tải sau mỗi sáu đến tám tuần để hồi phục."
Học cấu trúc dữ liệu và thuật toán như thế nào cho hiệu quả?,"Học cấu trúc dữ liệu và thuật toán hiệu quả bắt đầu từ nền tảng vững về mảng chuỗi danh sách liên kết ngăn xếp hàng đợi cây bảng băm và đồ thị kèm các thuật toán sắp xếp tìm kiếm duyệt BFS DFS và quy hoạch động cơ bản. Với mỗi chủ đề hãy đọc ý tưởng và độ phức tạp, viết lại bằng lời của bạn, cài đặt từ đầu rồi so sánh với lời giải chuẩn. Luyện theo bộ chủ đề thay vì làm ngẫu nhiên như hai con trỏ trượt cửa sổ chia để trị quy hoạch động và tham lam, mỗi ngày làm ít nhất ba bài có mức tăng dần và sau 24 đến 48 giờ ôn lại để nhớ lâu. Luôn vẽ sơ đồ dữ liệu, viết giả mã ngắn, kiểm thử bằng dữ liệu biên và đo thời gian cùng bộ nhớ để hiểu chi phí. Cuối tuần tổng kết lỗi hay gặp và ghi lại mẫu tư duy giải bài để dùng lại, sau đó làm một đề mô phỏng phỏng vấn trong giới hạn thời gian để kiểm tra mức độ tiến bộ."
Giới thiệu về bạn đi,"Mình là IT Mentor - người tư vấn, giải đáp thắc mắc về những vấn đề thuộc ngành CNTT HUSC. Mình sẽ giúp bạn hiểu hơn về quy định và quy chế đào tạo của trường."
Cách vượt cảm giác kém cỏi khi thấy bạn bè đã đi làm part time?,"Bạn nên tập trung ở các môn trên trường thay vì suy nghĩ nên đi làm theo bạn bè vì nếu gia đình không có khó khăn thì tập trung lấy học bổng sẽ tốt hơn, học bổng thậm chí cao hơn học phí mà bạn đang đóng."
Học vượt tín chỉ có điều kiện gì?,"1. Điều kiện chung để đăng ký học vượt
Về cơ bản, sinh viên được quyền đăng ký học vượt nếu đáp ứng các điều kiện sau:

Không bị giới hạn về học lực: Quy chế không quy định sinh viên phải có học lực loại Khá hay Giỏi mới được học vượt. Điều này có nghĩa là ngay cả khi học lực Trung bình, bạn vẫn có thể đăng ký học các học phần của học kỳ kế tiếp, miễn là đáp ứng các điều kiện về số tín chỉ và không có học phần tiên quyết nào chưa hoàn thành.

Đáp ứng điều kiện tiên quyết: Bạn phải đảm bảo đã hoàn thành các học phần tiên quyết (nếu có) của học phần mà bạn muốn học vượt. Hệ thống đăng ký trực tuyến sẽ tự động kiểm soát điều này.

2. Quy định về khối lượng tín chỉ tối đa
Đây là quy định quan trọng nhất bạn cần nắm để đăng ký học vượt:

Trong học kỳ chính: Sinh viên được đăng ký khối lượng học tập tối đa không vượt quá 3/2 (150%) khối lượng trung bình một học kỳ theo kế hoạch đào tạo chuẩn của ngành.

Ví dụ: Nếu kế hoạch đào tạo chuẩn của ngành bạn là 15 tín chỉ/học kỳ, thì số tín chỉ tối đa bạn được phép đăng ký trong một học kỳ chính là: 15 x 1.5 = 22.5 tín chỉ (thường sẽ làm tròn xuống 22 tín chỉ).

Trong học kỳ phụ (học kỳ hè): Không quy định khối lượng học tập tối thiểu hay tối đa. Đây là cơ hội để bạn học vượt nhiều nhất.

3. Thủ tục đăng ký học vượt
Việc đăng ký học vượt được thực hiện hoàn toàn thông qua Website Thông tin đào tạo đại học trong các đợt đăng ký học phần chính thức.

Bước 1: Trong thời gian đăng ký học phần, bạn truy cập hệ thống và đăng ký các học phần nằm trong kế hoạch đào tạo của khóa ngành mình.

Bước 2 (Quan trọng): Để học vượt, bạn cần chọn đăng ký thêm các học phần ngoài kế hoạch. Đây là những học phần có trong chương trình đào tạo của ngành bạn nhưng không thuộc kế hoạch đào tạo năm học hiện tại của khóa bạn (tức là các học phần của học kỳ sau).

Hệ thống sẽ tự động kiểm tra các điều kiện về tiên quyết và số lượng tối đa.

4. Một số lưu ý quan trọng khác
Điều kiện xét học bổng: Để đủ điều kiện xét cấp học bổng khuyến khích học tập, bạn phải đăng ký tối thiểu 15 tín chỉ/học kỳ. Điều quan trọng là chỉ tính những học phần đăng ký lần thứ nhất (bao gồm cả học phần học vượt), không tính học phần học lại hoặc học cải thiện. Vì vậy, học vượt không những không ảnh hưởng mà còn giúp bạn đủ điều kiện xét học bổng.

Sinh viên năm nhất: Trong học kỳ đầu tiên, sinh viên năm nhất không được tự đăng ký học phần. Phòng Đào tạo sẽ biên chế sẵn vào các lớp theo kế hoạch. Do đó, bạn chỉ có thể bắt đầu học vượt từ học kỳ thứ 2 trở đi.

Cân nhắc khối lượng học tập: Học vượt đồng nghĩa với khối lượng kiến thức và áp lực thi cử sẽ tăng lên. Bạn nên cân nhắc kỹ năng lực của bản thân để đảm bảo kết quả học tập chung không bị ảnh hưởng."
Bảo lưu kết quả khi đi thực tập dài hạn như thế nào?," Quy trình và thủ tục cụ thể
Bước 1: Viết đơn và chuẩn bị hồ sơ

Viết đơn: Bạn phải viết đơn gửi Hiệu trưởng, trình bày rõ lý do xin nghỉ học tạm thời là ""đi thực tập dài hạn"".

Chuẩn bị giấy tờ chứng minh: Đây là bước QUAN TRỌNG NHẤT. Bạn cần có:

Văn bản/xác nhận của công ty/đơn vị cử bạn đi thực tập dài hạn, nêu rõ thời gian thực tập.

Hợp đồng thực tập hoặc các giấy tờ có giá trị pháp lý tương tự chứng minh cho việc này.

Bước 2: Nộp đơn và xin xác nhận

Bạn nộp đơn kèm theo toàn bộ giấy tờ chứng minh cho:

Khoa chuyên môn của bạn (Ban Chủ nhiệm Khoa) để được xác nhận và có ý kiến.

Sau đó, nộp toàn bộ hồ sơ lên Phòng Đào tạo Đại học & Công tác Sinh viên.

Bước 3: Chờ quyết định từ Hiệu trưởng

Phòng Đào tạo sẽ tổng hợp và trình hồ sơ của bạn lên Hiệu trưởng.

Hiệu trưởng sẽ ra Quyết định cho phép bạn nghỉ học tạm thời. Quyết định này chính là văn bản xác nhận việc bảo lưu kết quả học tập của bạn.

3. Quy trình để trở lại học tập sau thời gian bảo lưu
Khi kết thúc đợt thực tập và muốn trở lại trường, bạn cần:

Viết đơn xin trở lại học tiếp gửi Hiệu trưởng.

Nộp đơn ít nhất một tuần trước khi học kỳ mới bắt đầu.

Hiệu trưởng sẽ ban hành Quyết định cho phép bạn nhập học trở lại.

Tóm tắt các bước thực tế bạn cần làm:
Liên hệ sớm với Khoa và Phòng Đào tạo: Ngay khi có kế hoạch thực tập, hãy đến gặp Cố vấn học tập (CVHT) và Phòng Đào tạo Đại học & Công tác Sinh viên để được hướng dẫn cụ thể nhất về thủ tục và thời gian.

Chuẩn bị hồ sơ: Viết đơn và xin giấy xác nhận thực tập dài hạn từ công ty.

Nộp hồ sơ đúng hạn: Nộp đơn và giấy tờ cho Khoa và Phòng Đào tạo trong vòng 4 tuần đầu của học kỳ.

Nhận Quyết định nghỉ học: Chờ và nhận Quyết định chính thức từ Hiệu trưởng. Giữ cẩn thận quyết định này.

Làm thủ tục trở lại học: Khi hết hạn thực tập, làm đơn xin đi học lại trước kỳ học mới.

Lưu ý quan trọng:

Thời gian nghỉ học tạm thời vì lý do cá nhân vẫn được tính vào thời gian học tập tối đa cho phép của khóa học (theo khoản 3, Điều 9). Bạn cần lên kế hoạch để đảm bảo hoàn thành chương trình đúng hạn.

Việc có được chấp nhận hay không phụ thuộc rất lớn vào tính chất ""chính đáng"" của lý do và giấy tờ chứng minh đầy đủ.

Bạn nên chủ động liên hệ với Phòng Đào tạo Đại học & Công tác Sinh viên của trường để được hướng dẫn chi tiết và chính xác nhất cho trường hợp cụ thể của mình.

Chúc bạn thực hiện thủ tục thành công và có một kỳ thực tập bổ ích!"
Vi phạm quy chế thi bị xử lý thế nào?,"A. Các Hình Thức Kỷ Luật (Điều 9, Quy chế Công tác Sinh viên)
Sinh viên vi phạm có thể bị áp dụng một trong các hình thức kỷ luật sau, từ nhẹ đến nặng:

Khiển trách

Cảnh cáo

Đình chỉ học tập có thời hạn (một học kỳ, một năm học, hoặc theo thời gian bản án treo)

Buộc thôi học

B. Các Hành Vi Vi Phạm Cụ Thể và Mức Xử Lý (Theo Phụ lục)
Dưới đây là các lỗi thi cử phổ biến và khung hình thức kỷ luật tương ứng. Số lần vi phạm được tính trong toàn bộ khóa học.

STT	Hành Vi Vi Phạm	Khiển trách	Cảnh cáo	Đình chỉ học tập	Buộc thôi học	Ghi chú
4	Thi/kiểm tra thay hoặc nhờ người thi/kiểm tra thay; Làm thay, nhờ làm hoặc sao chép tiểu luận, đồ án, khóa luận tốt nghiệp.			Lần 1	Lần 2	Xử lý theo quy chế đào tạo. Đây là lỗi rất nặng.
5	Tổ chức học, thi, kiểm tra thay; tổ chức làm thay tiểu luận, đồ án, khóa luận.				Lần 1	Tùy mức độ có thể bị giao cho cơ quan chức năng xử lý theo pháp luật.
6	Mang tài liệu vào phòng thi; đưa đề thi ra ngoài nhờ làm thay; ném tài liệu vào phòng thi; vẽ bậy vào bài thi.		Cảnh cáo			Xử lý theo quy chế đào tạo, hạ một bậc điểm rèn luyện và không quá mức Khá.
(Các lỗi khác)	Đến muộn, mất trật tự, làm việc riêng...	(Xử lý trừ điểm rèn luyện)				Trừ 5 điểm/lần vào điểm rèn luyện.
C. Hậu Quả Kèm Theo
Ngoài hình thức kỷ luật chính, việc vi phạm quy chế thi còn kéo theo những hậu quả nặng nề khác:

Đối với học phần bị vi phạm:

Sinh viên sẽ bị hủy kết quả thi của học phần đó và nhận điểm 0 (F) cho học phần. Bắt buộc phải đăng ký học lại.

Đối với điểm rèn luyện:

Bị trừ điểm rèn luyện rất nặng (theo Phụ lục đánh giá điểm rèn luyện):

Vi phạm bị khiển trách: Trừ -4 điểm/lần.

Vi phạm bị cảnh cáo: Trừ -6 điểm/lần.

Vi phạm bị đình chỉ thi học phần: Trừ -10 điểm/lần.

Điều này ảnh hưởng trực tiếp đến xếp loại rèn luyện, từ đó mất quyền lợi xét học bổng, khen thưởng.

Ảnh hưởng đến khen thưởng:

Sinh viên bị kỷ luật từ khiển trách trở lên sẽ không được xét khen thưởng trong học kỳ/năm học đó.

Thời hạn chấm dứt hiệu lực kỷ luật:

Khiển trách: Sau 03 tháng không tái phạm thì được chấm dứt hiệu lực (nhưng vẫn lưu hồ sơ).

Cảnh cáo: Sau 06 tháng không tái phạm thì được chấm dứt hiệu lực (nhưng vẫn lưu hồ sơ).

Nguy cơ bị buộc thôi học:

Theo Điều 20, Quy chế Đào tạo, sinh viên bị kỷ luật lần thứ hai vì lý do thi hộ hoặc bị kỷ luật ở mức xoá tên khỏi danh sách sinh viên sẽ bị buộc thôi học.

Tóm tắt quy trình xử lý kỷ luật (Điều 10):
Lập biên bản: Giảng viên, cán bộ coi thi lập biên bản về hành vi vi phạm.

Tự kiểm điểm: Sinh viên vi phạm phải viết bản tự kiểm điểm (nếu không viết vẫn bị xử lý).

Họp lớp: Trợ lý Cố vấn học tập chủ trì họp lớp để phân tích và đề xuất hình thức kỷ luật.

Khoa xét duyệt: Khoa chuyên môn họp, xét và gửi danh sách lên Phòng Công tác HSSV.

Hội đồng kỷ luật: Hội đồng khen thưởng & kỷ luật sinh viên của trường họp để xét và đề xuất hình thức kỷ luật cuối cùng.

Quyết định kỷ luật: Hiệu trưởng ra quyết định kỷ luật bằng văn bản. Quyết định này được thông báo cho gia đình và lưu vào hồ sơ sinh viên."
